211;2494955520.00;2495021055.00;AU
212;2495807488.00;2495873023.00;AU
213;2508652544.00;2508718079.00;AU
214;2509242368.00;2509307903.00;AU
215;2510749696.00;2510815231.00;AU
216;2511011840.00;2511077375.00;AU
217;2511339520.00;2511405055.00;AU
218;2523201536.00;2523267071.00;AU
219;2526478336.00;2526543871.00;AU
220;2527920128.00;2527985663.00;AU
221;2529099776.00;2529165311.00;AU
222;2529886208.00;2529951743.00;AU
223;2530148352.00;2530213887.00;AU
224;2531590144.00;2531655679.00;AU
225;2541879296.00;2541944831.00;AU
226;2545025024.00;2545090559.00;AU
227;2555117568.00;2555183103.00;AU
228;2555576320.00;2555641855.00;AU
229;2556100608.00;2556166143.00;AU
230;2556559360.00;2556624895.00;AU
231;2559770624.00;2559836159.00;AU
232;2573926400.00;2573991935.00;AU
233;2604400640.00;2604466175.00;AU
234;2605121536.00;2605187071.00;AU
235;2609840128.00;2609971199.00;AU
236;2612723712.00;2612789247.00;AU
237;2613903360.00;2613968895.00;AU
238;2618294272.00;2618359807.00;AU
239;2618687488.00;2618753023.00;AU
240;2620522496.00;2620588031.00;AU
241;2639593472.00;2639659007.00;AU
242;2642411520.00;2642477055.00;AU
243;2644180992.00;2644246527.00;AU
244;2647851008.00;2647916543.00;AU
245;2653421568.00;2653487103.00;AU
246;2653749248.00;2653814783.00;AU
247;2654339072.00;2654404607.00;AU
248;2656632832.00;2656698367.00;AU
249;2668429312.00;2668494847.00;AU
250;2670985216.00;2671050751.00;AU
251;2672361472.00;2672427007.00;AU
252;2674851840.00;2674917375.00;AU
253;2680422400.00;2680487935.00;AU
254;2681143296.00;2681208831.00;AU
255;2683830272.00;2683895807.00;AU
256;2688548864.00;2688614399.00;AU
257;2697854976.00;2697920511.00;AU
258;2698903552.00;2698969087.00;AU
259;2703949824.00;2704015359.00;AU
260;2704408576.00;2704474111.00;AU
261;2708799488.00;2708865023.00;AU
262;2710503424.00;2710568959.00;AU
263;2710700032.00;2710765567.00;AU
264;2711093248.00;2711158783.00;AU
265;2727411712.00;2727608319.00;AU
266;2735210496.00;2735276031.00;AU
267;2743009280.00;2743140351.00;AU
268;2747072512.00;2747138047.00;AU
269;2749890560.00;2750021631.00;AU
270;2754936832.00;2755002367.00;AU
271;2756378624.00;2756444159.00;AU
272;2756706304.00;2756771839.00;AU
273;2757820416.00;2757885951.00;AU
274;2758541312.00;2758606847.00;AU
275;2758803456.00;2758868991.00;AU
276;2769027072.00;2769092607.00;AU
277;2770272256.00;2770337791.00;AU
278;2772631552.00;2772697087.00;AU
279;2772762624.00;2772828159.00;AU
280;2773876736.00;2773942271.00;AU
281;2775973888.00;2776039423.00;AU
282;2777546752.00;2777612287.00;AU
283;2780495872.00;2780561407.00;AU
284;2780758016.00;2780823551.00;AU
285;2783182848.00;2783248383.00;AU
286;2783969280.00;2784034815.00;AU
287;2789212160.00;2789277695.00;AU
288;2792882176.00;2792947711.00;AU
289;2803761152.00;2803826687.00;AU
290;2808545280.00;2808610815.00;AU
291;2809856000.00;2809921535.00;AU
292;2810314752.00;2810380287.00;AU
293;2812411904.00;2812477439.00;AU
294;2814181376.00;2814246911.00;AU
295;2827091968.00;2827157503.00;AU
296;2827223040.00;2827288575.00;AU
297;2827354112.00;2827419647.00;AU
298;2827747328.00;2827812863.00;AU
299;2828533760.00;2828664831.00;AU
300;2830761984.00;2830827519.00;AU
301;2831548416.00;2831613951.00;AU
302;2832793600.00;2832859135.00;AU
303;2835087360.00;2835152895.00;AU
304;2848522240.00;2848587775.00;AU
305;2848980992.00;2849177599.00;AU
306;2849179136.00;2849964031.00;AU
307;2862415872.00;2862481407.00;AU
308;3221614592.00;3221614847.00;AU
309;3222031360.00;3222031615.00;AU
310;3222320128.00;3222320383.00;AU
311;3222984448.00;3222988543.00;AU
312;3222988800.00;3222989055.00;AU
